MSSubClass,MSZoning,Neighborhood,OverallQual,YearRemodAdd,RoofStyle,MasVnrType,ExterQual,BsmtQual,BsmtExposure,HeatingQC,CentralAir,FirstFlrSF,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,PavedDrive,LotFrontage
0,0.75,0.363636364,0.444444444,0.852459016,1,0.666666667,0.333333333,0.5,0.25,0.25,1,0.480188597,0.448868601,0.333333333,0.333333333,0,0.2,0.8,0.666666667,0.5,1,0.388581117
0.235294118,1,0.818181818,0.666666667,0.016393443,0,0,0.666666667,0.75,0.25,1,1,0.319997768,0.54884507,0,0.666666667,0,0.2,0.8,0.666666667,0.5,1,0.418208121
1,0.75,0.181818182,0.333333333,0.606557377,0,0.666666667,0.333333333,0.5,0.75,0.5,0,0.399547017,0.373486817,0.333333333,0.333333333,0,0.2,0.4,0.333333333,0.5,1,0.388581117
0,0.75,0.818181818,0.777777778,0.049180328,0,0.666666667,0.666666667,0.75,0.25,1,1,0.586660416,0.548395863,0,0.666666667,0.333333333,0.8,0.8,0.666666667,0.75,1,0.471175462
0.176470588,0.25,0,0.444444444,0.049180328,0,0,0.333333333,0.5,0.25,0.5,0,0.413858415,0.535347625,0,0,0,0.2,0,0,0,0,0.517503342
0.352941176,0.75,0.272727273,0.444444444,0.180327869,0,0,0.333333333,0.75,0.75,1,1,0.559243777,0.522767457,0,0.333333333,0.333333333,0.6,0.8,0.666666667,0.5,1,0.445638443
0.235294118,0.75,1,0.666666667,0.213114754,0,0.666666667,0.666666667,0.75,0.25,1,1,0.507527514,0.689272922,0,0.666666667,0.333333333,0.6,0.8,0.666666667,0.75,1,0.490407837
0.588235294,0.25,0.954545455,0.666666667,0.081967213,0,1,0.666666667,0.75,0.75,1,1,0.530800958,0.496179803,0.333333333,0.666666667,0.333333333,0.8,0.8,0.666666667,0.5,1,0.382360131
0.235294118,0.75,0.590909091,0.555555556,0.131147541,0,0,0.333333333,0.75,0.25,1,1,0.394786786,0.573550472,0,0.333333333,0.333333333,0.6,0.8,0.666666667,0.5,1,0.388581117
0.352941176,0.75,0.363636364,0.555555556,0.786885246,0,0.666666667,0.333333333,0.5,1,0.5,1,0.537430617,0.502377047,0.333333333,0.333333333,0.333333333,0.6,0.8,0.333333333,0.5,1,0.645142585
0.235294118,0.75,0.454545455,0.555555556,0.491803279,0,0.666666667,0.333333333,0.75,0.25,0.5,1,0.37004377,0.546141233,0,0.333333333,0.333333333,0.6,0.8,0.333333333,0.5,1,0.445638443
0.588235294,0.75,0.954545455,0.555555556,0.081967213,0,1,0.666666667,0.75,0.75,1,1,0.516025407,0.482367978,0.333333333,0.666666667,0.333333333,0.8,0.8,0.666666667,0.5,1,0.178347529
0,0.75,0.863636364,0.555555556,0.327868852,0,0.666666667,0.333333333,0.75,0.25,0.75,1,0.463583696,0.433346744,0.333333333,0.666666667,0.333333333,0.6,0.8,0.333333333,0.5,1,0.34958298
0,0.75,0.409090909,0.444444444,0.901639344,1,0,0.333333333,0.5,0.25,1,1,0.410426754,0.38365693,0,0.333333333,0,0.2,0.8,0.666666667,0.5,0,0.577658092
0.352941176,0.75,0.363636364,0.444444444,0.049180328,0.5,0.666666667,0.333333333,0.5,0.75,0.5,1,0.206233563,0.424526156,0,0.333333333,0,0.2,1,0.333333333,0.25,1,0.445638443
0,0.75,0.363636364,0.444444444,0.098360656,0,0.666666667,0.333333333,0.5,0.25,1,1,0.462583872,0.432412133,0,0.333333333,0,0.2,0.8,0.666666667,0.25,1,0.445638443
0.235294118,0.75,0.545454545,0.555555556,0.196721311,0,0,0.333333333,0.5,0.25,0.5,1,0.580357088,0.727839748,0,0.333333333,0.333333333,0.6,0.8,0.666666667,0.5,1,0.538659955
0.176470588,0.75,0.227272727,0.555555556,0.93442623,0,0,0.333333333,0.25,0.25,0.75,1,0.360112832,0.483449784,0,0.333333333,0,0.2,0.8,0.333333333,0.25,1,0.321096624
0,0.75,0.409090909,0.555555556,0.409836066,0,0,0.333333333,0.5,0.25,0.5,1,0.444120046,0.415152599,0,0.333333333,0,0.2,0.8,0.333333333,0.5,1,0.450888743
0.176470588,0.75,0.454545455,0.777777778,0.016393443,0,0,0.666666667,0.75,1,1,1,0.567426438,0.655737974,0.333333333,0.666666667,0.333333333,0.8,1,1,0.5,1,0.490407837
0.352941176,0.75,0.545454545,0.666666667,0.245901639,0,0.666666667,0.333333333,0.5,0.25,0.75,1,0.490867093,0.618687825,0,0.666666667,0.333333333,0.6,0.8,0.666666667,0.5,1,0.584987835
0.176470588,0.25,0.227272727,0.555555556,0.93442623,0,0,0.333333333,0.25,0.25,0.5,1,0.297966326,0.427385401,0,0.333333333,0,0.2,0.4,0.333333333,0.5,1,0.238502279
0,0.75,0.954545455,0.777777778,0.049180328,0,1,0.666666667,1,0.25,1,1,0.616692235,0.576468876,0.333333333,0.666666667,0.333333333,0.8,0.8,0.666666667,0.75,1,0.570180263
0.058823529,0.75,0.136363636,0.333333333,0.983606557,0,0,0.333333333,0.5,0.25,1,1,0.358358793,0.334985068,0,0.333333333,0,0.2,0.4,0.333333333,0.5,1,0.388581117
0.235294118,0.75,0.545454545,0.555555556,0.655737705,0.5,0.666666667,0.666666667,0.5,0.25,0.75,1,0.430201551,0.584474011,0,0.333333333,0.333333333,0.8,0.8,0.333333333,0.5,1,0.538659955
0.823529412,0.25,0.090909091,0.555555556,0.639344262,0,0.666666667,0.333333333,0.5,0.25,0.5,1,0.139594853,0.383298702,0,0.333333333,0,0.2,0.4,0.333333333,0.25,1,0
0,0.75,0.681818182,0.666666667,0.016393443,0,1,0.666666667,0.75,0.75,1,1,0.490247219,0.458271156,0.333333333,0.666666667,0,0.2,0.8,0.666666667,0.5,1,0.412469402
0.588235294,0.75,0.636363636,0.666666667,0.016393443,0,0.666666667,0.666666667,1,0.75,1,1,0.542867971,0.507459753,0,0.666666667,0.333333333,0.8,0.8,1,0.75,1,0.342664275
0.588235294,0.25,0.681818182,0.555555556,0.049180328,0,0.666666667,0.666666667,0.75,0.5,1,1,0.352601357,0.329603158,0.333333333,0.666666667,0.333333333,0.8,0.8,0.666666667,0.5,1,0.209645597
0,0.75,0.681818182,0.444444444,0.245901639,0,0,0.333333333,0.75,0.25,1,1,0.411192039,0.3843723,0.333333333,0.333333333,0,0.2,0.4,0.333333333,0.5,1,0.388581117
0.352941176,0.75,0.136363636,0.555555556,0.049180328,0,0.666666667,0.333333333,0.5,0.75,0.75,1,0.530522186,0.495919214,0.333333333,1,0.333333333,0.8,0.6,0.666666667,0.25,1,0.657279409
0,0.75,0.954545455,0.666666667,0.114754098,0,0.666666667,0.666666667,0.75,0.25,1,1,0.57716561,0.539520351,0,0.666666667,0,0.2,0.8,0.666666667,0.5,1,0.445638443
0.382352941,0.75,0.681818182,0.444444444,0.180327869,0,0,0.666666667,0.75,0.75,1,1,0.380964913,0.356116719,0,0.333333333,0,0.2,0.4,0.333333333,0.5,1,0.369595419
0.176470588,0.75,0.181818182,0.444444444,0.262295082,0,0,0.333333333,0.25,0.25,0.75,1,0.389965914,0.467430251,0,0.333333333,0,0.2,0.8,0.333333333,0.5,1,0.546795227
0.352941176,0.75,0.409090909,0.555555556,0.37704918,0,0,0.333333333,0.5,0.75,0.5,1,0.416129022,0.388987271,0.333333333,0.333333333,0,0.2,0.4,0.333333333,0.5,1,0.209645597
0.941176471,0.25,0.045454545,0.333333333,0.655737705,0,0,0.333333333,0.75,0.75,0.5,1,0.240145793,0.224482437,0.333333333,0.333333333,0,0.2,0.8,0.333333333,0.25,1,0
0.352941176,0.75,0.363636364,0.555555556,0.819672131,1,0.666666667,0.333333333,0.5,0.75,1,1,0.463916385,0.433657734,0,0.333333333,0,0.2,0.8,0.666666667,0.25,1,0.418208121
0.235294118,0.75,0.363636364,0.555555556,0.770491803,0,0.666666667,0.333333333,0.5,0.25,1,1,0.357037907,0.578951345,0,0.333333333,0.333333333,0.8,0.8,1,0.5,1,0.445638443
0.823529412,0.25,0.090909091,0.444444444,0.606557377,0,0.666666667,0.333333333,0.5,0.25,1,1,0.313620905,0.497998575,0.333333333,0.333333333,0,0.2,0.4,0.333333333,0.5,1,0.049425304
0,0.75,0.363636364,0.444444444,0.737704918,1,0,0.333333333,0.5,0.25,0.5,1,0.525468846,0.491195475,0,0.333333333,0,0.2,0.8,0.333333333,0.25,1,0.445638443
0.588235294,0.75,0.909090909,0.777777778,0.327868852,0,0,0.666666667,0.75,0.5,0.75,1,0.492720648,0.460583257,0.333333333,0.666666667,0.333333333,0.8,0.8,1,0.5,1,0.238502279
0.058823529,0.25,0,0.444444444,0.885245902,0,0,0.333333333,0.5,0.25,1,1,0.319997768,0.299126117,0,0.333333333,0.333333333,0.8,0.4,1,0.25,1,0.450888743
0,0.75,0.681818182,0.444444444,0.524590164,0,0.666666667,0.333333333,0.75,0.25,0.5,1,0.429837847,0.401801947,0,0.333333333,0,0.2,0,0,0,1,0.388581117
1,0.5,0.318181818,0.444444444,0.196721311,0,0,0.333333333,0.5,0.5,0.75,1,0.394786786,0.620158722,0,0.333333333,0,0.2,0,0,0,0,0.388581117
0.411764706,0.75,0.363636364,0.444444444,0.672131148,0,0.666666667,0.333333333,0.5,0.25,0.5,1,0.525186117,0.730536028,0.333333333,0.333333333,0,0.2,0.4,0.333333333,1,1,0.542749941
0,0.75,0.363636364,0.555555556,0.704918033,1,0.666666667,0.333333333,0.5,0.25,0.5,1,0.499743009,0.46714759,0.333333333,0.333333333,0.666666667,0.8,0.8,0.666666667,0.25,1,0.495063747
0.235294118,0.75,0.681818182,0.888888889,0.163934426,1,0.666666667,0.666666667,1,0.5,1,1,0.562333046,0.659205332,0.333333333,1,0.666666667,1,0.8,1,0.75,1,0.388581117
0,0.75,0.681818182,0.777777778,0.081967213,1,0.666666667,0.666666667,0.75,1,1,1,0.634690453,0.593293172,0,0.666666667,0.333333333,0.6,0.8,0.666666667,0.75,1,0.388581117
0.058823529,0.75,0.136363636,0.222222222,0.967213115,0,0,0.333333333,0.5,0.25,0.5,0,0.359675084,0.336215505,0.333333333,0.333333333,0,0.2,0,0,0,0,0.282098487
0,0.75,0.454545455,0.444444444,0.081967213,0,0,0.333333333,0.5,0.25,1,1,0.455850004,0.426117478,0.333333333,0.666666667,0,0.2,0.4,0.333333333,0.5,1,0.423859223
0.588235294,0.75,0.909090909,0.777777778,0.131147541,0,0,0.666666667,0.75,0.75,1,1,0.604963922,0.565505535,0.333333333,1,0,0.2,0.8,0.666666667,0.5,1,0.247642001
0.411764706,0.75,0.363636364,0.222222222,0.983606557,0,0,0.333333333,0,0,0.25,0,0.429837847,0.401801947,0,0.333333333,0,0.2,0.4,0.333333333,0.5,1,0.388581117
0.147058824,0.25,0.181818182,0.444444444,0.967213115,0,0,0.333333333,0.5,0.25,0.75,1,0.322905081,0.301843802,0.333333333,0.666666667,0,0.2,0,0,0,1,0.321096624
0,0.75,0.5,0.888888889,0.327868852,0,0,0.666666667,1,1,0.75,1,0.646162168,0.604016652,0.666666667,0.666666667,0.333333333,0.8,0.8,1,0.75,1,0.434908997
0.235294118,0.75,0.363636364,0.555555556,0.475409836,0.5,0.333333333,0.333333333,0.75,0.25,0.5,1,0.559502181,0.694664648,0,0.333333333,0.333333333,0,0.2,0.333333333,0.5,1,0.388581117
0,0.75,0.545454545,0.666666667,0.540983607,1,0.666666667,0.333333333,0.5,0.25,0.5,1,0.545289523,0.50972336,0,0.333333333,0.333333333,0.6,0.8,1,0.5,1,0.517503342
0.235294118,0.75,0.454545455,0.666666667,0.344262295,0,0.666666667,0.666666667,0.5,1,1,1,0.581577448,0.743199583,0.333333333,0.666666667,0.333333333,0.6,0.8,1,0.5,1,0.521832514
0,1,0.818181818,0.777777778,0.032786885,0,0,0.666666667,0.75,0.75,1,1,0.605879118,0.566361038,0,0.666666667,0,0.2,0.8,0.666666667,0.75,1,0.513122936
0.941176471,0.25,0.045454545,0.333333333,0.606557377,0,0,0.333333333,0.75,0.75,0.75,1,0.240145793,0.224482437,0.333333333,0.333333333,0,0.2,0,0,0,1,0
0.352941176,0.75,0.545454545,0.666666667,0.491803279,0,0.666666667,0.333333333,0.75,0.75,0.5,1,0.561306089,0.524695256,0.333333333,0.333333333,0.666666667,0.6,0.8,0.333333333,0.5,1,0.388581117
0,0.75,0.363636364,0.555555556,0.68852459,1,0.666666667,0.333333333,0.25,0.25,0.75,1,0.54015906,0.504927529,0.333333333,0.333333333,0.666666667,0.6,0.8,0.666666667,0.5,1,0.645142585
0.176470588,0.25,0.227272727,0.555555556,0.06557377,1,0,0.333333333,0.5,0.25,0.75,1,0.415373666,0.561846388,0,0.666666667,0,0.2,0.8,0.333333333,0.25,1,0.382360131
0,0.75,0.681818182,0.444444444,0.573770492,1,0,0.333333333,0.5,0.5,1,1,0.359675084,0.336215505,0,0.333333333,0,0.2,0.8,0.666666667,0.25,1,0.645142585
0.588235294,0.75,0.636363636,0.666666667,0.032786885,0,0.666666667,0.666666667,0.75,1,1,1,0.569947656,0.532773183,0,0.666666667,0.333333333,0.8,0.8,1,0.5,1,0.265271046
0.235294118,0.75,0.954545455,0.666666667,0.081967213,0,0.666666667,0.666666667,0.75,0.25,1,1,0.417259237,0.641172717,0.333333333,0.666666667,0.333333333,0.8,1,0.666666667,0.75,1,0.517503342
0.235294118,0.75,0.590909091,0.777777778,0.114754098,0,0.666666667,0.666666667,0.75,0.25,1,1,0.556649981,0.621623529,0,0.666666667,0.333333333,0.6,0.8,0.666666667,0.5,1,0.599225743
0,0.75,0.363636364,0.555555556,0.147540984,0,0,0.666666667,0.5,0.25,1,1,0.655496655,0.612742302,0,0.666666667,0.333333333,0.8,0.8,1,0.5,1,0.694182126
0,0.75,0.272727273,0.444444444,0.213114754,0,0,0.333333333,0.5,0.25,0.5,1,0.495178016,0.462880345,0,0.333333333,0.333333333,0.6,0.8,0.333333333,0.25,1,0.418208121
0,0.75,0.545454545,0.666666667,0.557377049,0,0.666666667,0.333333333,0.75,0.25,0.5,1,0.534130305,0.499291996,0,0.333333333,0.333333333,0.6,0.8,0.666666667,0.5,1,0.495063747
0.411764706,0.75,0.363636364,0.222222222,0.93442623,0,0.666666667,0.333333333,0,0,0.25,0,0.429837847,0.401801947,0,0.333333333,0,0.2,0.4,0.333333333,0.5,1,0.388581117
0.294117647,0.75,0.318181818,0.666666667,0.049180328,0,0,0.666666667,0.75,0.25,1,1,0.20557599,0.432723945,0.333333333,0.666666667,0,0.2,0.4,0.666666667,0.5,1,0.388581117
0,0.75,0.363636364,0.333333333,0.655737705,0,0,0.333333333,0.5,0.25,0.5,1,0.359675084,0.336215505,0,0.333333333,0.333333333,0,0,0,0,1,0.445638443
0,0.75,0.681818182,0.444444444,0.049180328,0,0,0.333333333,0.75,0.25,1,1,0.450719785,0.421321874,0,0.666666667,0,0.2,0.8,0.333333333,0.25,1,0.471175462
0.235294118,0.75,1,0.666666667,0.262295082,0,0,0.666666667,0.75,0.25,1,1,0.406963689,0.6055497,0,0.666666667,0.333333333,0.8,1,1,0.5,1,0.388581117
0.176470588,0.25,0.181818182,0.555555556,0.983606557,0,0,0.333333333,0.5,0.25,1,1,0.342195481,0.509973981,0,0.333333333,0.333333333,0.8,0.4,0.333333333,0.25,1,0.321096624
0.411764706,0.75,0.363636364,0.444444444,0.590163934,0,0,0.333333333,0.75,0.25,0.5,1,0.373437813,0.594281578,0,0.333333333,0,0.2,0,0,0,1,0.388581117
0,0.75,0.227272727,0.444444444,0.114754098,0,0,0.333333333,0.5,0.25,1,1,0.34584746,0.323289779,0,0.666666667,0,0.2,0.4,0.333333333,0.25,1,0.538659955
0.411764706,0.75,0.136363636,0.333333333,0.885245902,0,0,0.333333333,0,0,0.5,0,0.468543575,0.437983119,0,0,0,0.2,0,0,0,0,0.418208121
0,0.75,0.363636364,0.555555556,0.819672131,0,0.666666667,0.333333333,0.5,0.25,1,1,0.562845481,0.526134243,0.333333333,0.333333333,0.666666667,0.8,0.8,0.333333333,0.5,1,0.388581117
0.176470588,0.25,0.227272727,0.444444444,0.983606557,0,0,0.333333333,0.5,0.25,0.5,1,0.290678526,0.476358176,0,0.333333333,0,0.2,0.4,0.333333333,0.25,1,0.321096624
0.235294118,0.75,0.590909091,0.555555556,0.180327869,0,0,0.333333333,0.75,0.25,1,1,0.371744596,0.57039666,0,0.333333333,0.333333333,0.6,1,1,0.5,1,0.388581117
0.235294118,0.75,0.681818182,0.666666667,0.081967213,0,0.666666667,0.666666667,0.75,0,1,1,0.389965914,0.591108908,0,0.666666667,0.333333333,0.6,0.8,0.666666667,0.5,1,0.418208121
0.235294118,0.75,0.681818182,0.666666667,0.114754098,0,0.666666667,0.666666667,0.75,0.5,1,1,0.383441039,0.593095159,0.333333333,0.666666667,0.333333333,0.6,0.8,0.666666667,0.5,1,0.434908997
0,0.75,0.5,0.555555556,0.524590164,0,0,0.333333333,0.75,1,1,1,0.503056016,0.470244508,0,0.333333333,0.333333333,0.6,0.8,0.666666667,0.5,1,0.495063747
0.588235294,0.75,0.909090909,0.777777778,0.360655738,0,0,0.666666667,0.75,0.25,1,1,0.446912925,0.417763314,0,0.666666667,0,0.2,0.8,0.666666667,0.5,1,0.388581117
0.588235294,0.75,0.909090909,0.777777778,0.426229508,0,0,0.666666667,0.75,0.75,0.75,1,0.531357887,0.496700407,0.333333333,0.666666667,0.333333333,1,0.8,0.666666667,0.5,1,0.388581117
0.235294118,0.75,0.681818182,0.666666667,0.081967213,0,0,0.666666667,0.75,0.25,1,1,0.316086277,0.550189278,0,0.666666667,0,0.2,0.8,0.666666667,0.5,1,0.412469402
0.176470588,0.75,0.727272727,0.444444444,0.983606557,0,0,0.666666667,0.5,0.25,1,1,0.405802256,0.482909295,0.333333333,0.333333333,0.666666667,0.6,0.4,0.333333333,0.25,1,0.67476959
0,0.75,0.681818182,0.666666667,0.180327869,0,0,0.666666667,0.75,0.75,1,1,0.550615907,0.514702335,0.333333333,0.666666667,0,0.2,0.8,1,0.5,1,0.434908997
0,0.75,0.363636364,0.555555556,0.344262295,0,0.666666667,0.333333333,0.5,0.25,1,1,0.550086629,0.514207579,0,0.666666667,0.666666667,0.8,0.8,0.333333333,0.5,1,0.388581117
0.235294118,1,0.818181818,0.777777778,0.016393443,0,0,0.666666667,0.75,0.5,0.75,1,0.449339899,0.622171272,0,0.666666667,0.333333333,0.8,0.8,0.666666667,0.75,1,0.513122936
0.058823529,0.75,0.136363636,0.444444444,0.983606557,0,0,0.333333333,0.25,0.25,1,1,0.359675084,0.336215505,0,0.333333333,0,0.2,0,0,0,1,0.363044098
0.235294118,0.75,0.909090909,1,0.016393443,1,0.666666667,1,1,1,1,1,0.549291323,0.770016404,0,0.666666667,0.333333333,0.8,1,1,0.75,1,0.423859223
0,1,0.818181818,0.777777778,0.016393443,0,1,0.666666667,0.75,0.5,1,1,0.518336457,0.484528292,0.333333333,0.666666667,0,0.2,0.8,0.666666667,0.5,1,0.45606561
0,0.75,0.681818182,0.666666667,0.032786885,1,0,0.666666667,0.75,0.25,1,1,0.644927475,0.60286249,0,0.666666667,0.333333333,0.8,0.8,1,0.5,1,0.445638443
0.058823529,0.25,0.227272727,0.444444444,0.180327869,0,0,0.333333333,0.5,0.25,0.75,1,0.360550075,0.337033425,0,0.666666667,0,0.2,0,0,0,1,0.238502279
0.588235294,0.75,0.636363636,0.666666667,0.049180328,1,0.666666667,0.666666667,0.75,0.25,1,1,0.585456363,0.547270345,0,0.666666667,0.333333333,0.6,0.8,0.666666667,0.75,1,0.328426367
0.235294118,0.75,0.909090909,0.777777778,0.131147541,1,0.666666667,1,0.75,1,1,1,0.613570198,0.808019683,0.333333333,1,0.333333333,0.8,1,1,0.75,1,0.298194064
0.235294118,0.75,0.136363636,1,0.016393443,1,1,1,1,1,1,1,1,1,0.666666667,1,1,0.8,0.8,1,0.5,1,1
0.823529412,1,0.818181818,0.777777778,0.163934426,0,0.666666667,0.666666667,0.75,0.25,1,1,0.408506743,0.583661259,0.333333333,0.666666667,0,0.2,0.8,1,0.5,1,0.049425304
0.294117647,0.75,0.136363636,0.333333333,0.983606557,0,0,0.333333333,0.5,0.5,0.5,1,0.308641447,0.533711513,0.333333333,0.333333333,0.333333333,0.8,0.4,0.333333333,0.25,0.5,0.388581117
0.176470588,0.25,0.227272727,0.444444444,0.901639344,0,0.666666667,0.333333333,0.5,0.25,1,0,0.433459247,0.594873298,0,0.333333333,0,0.2,0.8,0.333333333,0.25,1,0.499661818
1,0.75,0.227272727,0.333333333,0.147540984,0,0,0.333333333,0,0,0.5,0,0.27676003,0.479102568,0,0.333333333,0,0.2,0,0,0,0,0.388581117
0,0.75,0.954545455,1,0.016393443,1,0.666666667,1,1,0.75,1,1,0.692874917,0.647682591,0.333333333,1,0.333333333,0.8,0.8,1,0.75,1,0.626156887
0,1,0.818181818,0.888888889,0.016393443,0,1,1,1,0.5,1,1,0.630216941,0.589111442,0.333333333,1,0.333333333,0.8,0.8,1,0.75,1,0.517503342
0.352941176,0.75,0.363636364,0.777777778,0.245901639,0,0,0.666666667,0.75,1,0.75,1,0.677305433,0.739814387,0.333333333,1,1,0.6,0.8,1,0.5,1,0.471175462
0.058823529,0.25,0.181818182,0.333333333,0.967213115,0,0,0.333333333,0.5,0.25,0.25,0,0.167527836,0.156600939,0,0,0,0.2,0.4,0.333333333,0.25,1,0.388581117
0.176470588,0.75,0.727272727,0.666666667,0.327868852,0,0,0.666666667,0.75,0.25,0.75,1,0.422489396,0.643069506,0,0.666666667,0.333333333,0.8,0.8,1,0.25,1,0.521832514
0,0.75,0.681818182,0.777777778,0.049180328,0,1,0.666666667,0.75,0.75,1,1,0.61446484,0.574386762,0,0.666666667,0,0.2,0.8,0.666666667,0.75,1,0.412469402
0.176470588,0.25,0.227272727,0.444444444,0.229508197,0.5,0,0.333333333,0.5,0.5,0.75,1,0.349914245,0.524695256,0,0.666666667,0,0.2,0.4,0.333333333,0.25,0.5,0.388581117
0.294117647,0.75,0.727272727,0.666666667,0.098360656,0.5,0,0.666666667,0.75,0.25,1,1,0.507231052,0.647002955,0,0.666666667,0.666666667,0.8,0.4,0.333333333,0.25,1,0.342664275
0.176470588,0.75,0.181818182,0.444444444,0.442622951,0,0,0.333333333,0.5,0.25,0.75,1,0.410426754,0.532538211,0.333333333,0.333333333,0,0.2,0.4,0.333333333,0.25,0,0.388581117
0,0.75,0.545454545,0.555555556,0.196721311,0,0,0.333333333,0.75,0.25,0.5,1,0.589534607,0.551082587,0,0.333333333,0.333333333,0.6,0.8,0.333333333,0.5,1,0.305986772
0.323529412,0.25,0.227272727,0.555555556,0.983606557,0,0,0.333333333,0.5,0.25,1,1,0.387125114,0.671477225,0,0.333333333,0,0.2,0,0,0,1,0.546795227
0.235294118,0.75,0.454545455,0.666666667,0.114754098,0,0,0.666666667,0.75,0.25,1,1,0.397966917,0.647682591,0.333333333,0.666666667,0,0.2,1,0.666666667,0.5,1,0.476078049
0.176470588,0.75,0.590909091,0.777777778,0.098360656,0,0,0.666666667,0.75,0.75,0.75,1,0.444120046,0.586295905,0,0.333333333,0,0.2,0.6,0.666666667,0.5,1,0.732639517
0.294117647,0.75,0.727272727,0.666666667,0.393442623,0,0,0.333333333,0.5,0.25,0.5,1,0.399547017,0.583864622,0,0.333333333,0.666666667,0.8,0.8,0.333333333,0.25,1,0.471175462
0.235294118,0.75,0.681818182,0.666666667,0.032786885,0,0,0.666666667,0.75,0.25,1,1,0.352154828,0.623809429,0,0.666666667,0.333333333,0.8,1,1,0.5,1,0.247642001
0.176470588,0,0,0.333333333,0.93442623,0,0,0.333333333,0.5,0.25,0.75,1,0.373859937,0.490402016,0,0.333333333,0,0.2,0.2,0.333333333,0.25,1,0.388581117
0,0.75,0.681818182,0.444444444,0.573770492,0,0,0.333333333,0.5,0.25,0.5,1,0.372592152,0.348290066,0.333333333,0.333333333,0,0.2,0.8,0.333333333,0.5,1,0.445638443
0,0.75,0.954545455,0.888888889,0.032786885,1,0.666666667,0.666666667,1,0.75,1,1,0.673502051,0.629573308,0.333333333,1,0.333333333,0.8,0.8,1,0.75,1,0.671911352
0.294117647,0.75,0.727272727,0.555555556,0.983606557,0,0,0.333333333,0.5,0.25,0.25,1,0.307637644,0.529943165,0,0.666666667,0.666666667,0.8,0.8,0.333333333,0.25,0.5,0.388581117
